Begrotingsjaar;Valuta;eenheid;Uitgaven (U) Verplichtingen (V) Ontvangsten (O);Begrotingsstaat;Onderdeel;Omschrijving;ontwerpbegroting;vastgestelde begroting;1ste suppletoire begroting;2de suppletoire begroting;Realisatie;Url
2014;Euro;x1000;U;VIII, Onderwijs, Cultuur en Wetenschap;95;Apparaatskosten;234723;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;-;TOTAAL;1232113;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;1;Primair onderwijs;1661;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;3;Voortgezet onderwijs;4661;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;4;Beroepsonderwijs en volwasseneneducatie;0;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;6;Hoger beroepsonderwijs;1213;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;7;Wetenschappelijk onderwijs;16;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;8;Internationaal onderwijsbeleid;99;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;9;Arbeidsmarkt en personeelsbeleid;6000;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;11;Studiefinanciering;766271;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;12;Tegemoetkoming studiekosten;4701;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;13;Lesgelden;247762;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;14;Cultuur;1561;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;15;Media;197500;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;16;Onderzoek en wetenschappen;101;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;25;Emancipatie;0;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;91;Nominaal en onvoorzien;0;;;;;
2014;Euro;x1000;O;VIII, Onderwijs, Cultuur en Wetenschap;95;Apparaatskosten;567;;;;;
2014;Euro;x1000;V;VIII, Onderwijs, Cultuur en Wetenschap;-;TOTAAL;;;;;;
